species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,42.6,13.7,213,4950,Female
Adelie,Biscoe,41.4,18.6,191,3700,Male
Adelie,Biscoe,38.6,17.2,199,3750,Female
Chinstrap,Dream,46.5,17.9,192,3500,Female
Gentoo,Biscoe,49.6,15.0,216,4750,Male
Adelie,Torgersen,35.9,16.6,190,3050,Female
Gentoo,Biscoe,47.7,15.0,216,4750,Female
Gentoo,Biscoe,46.1,13.2,211,4500,Female
Chinstrap,Dream,51.9,19.5,206,3950,Male
Chinstrap,Dream,49.7,18.6,195,3600,Male
Adelie,Torgersen,34.6,17.2,189,3200,Female
Adelie,Biscoe,39.0,17.5,186,3550,Female
Adelie,Biscoe,37.6,19.1,194,3750,Male
Chinstrap,Dream,48.5,17.5,191,3400,Male
Gentoo,Biscoe,53.4,15.8,219,5500,Male
Adelie,Torgersen,45.8,18.9,197,4150,Male
Chinstrap,Dream,45.9,17.1,190,3575,Female
Gentoo,Biscoe,59.6,17.0,230,6050,Male
Gentoo,Biscoe,46.5,14.5,213,4400,Female
Gentoo,Biscoe,46.3,15.8,215,5050,Male
